,,,Overall,Overall,Overall,Conference,Conference,Conference,,,,,,,,,,
Rk,Season,Conf,W,L,W-L%,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
1,2017-18,Big Ten,33,7,.825,13,5,.722,19.30,8.99,73.9,62.9,,7,7,Playing National Final,3,John Beilein (33-7)
2,2016-17,Big Ten,26,12,.684,10,8,.556,18.80,10.17,75.0,66.4,,23,23,Lost Regional Semifinal,7,John Beilein (26-12)
3,2015-16,Big Ten,23,13,.639,10,8,.556,13.75,7.92,73.8,67.4,25,24,,Lost First Round,11,John Beilein (23-13)
4,2014-15,Big Ten,16,16,.500,8,10,.444,9.56,9.59,64.7,64.0,24,17,,,,John Beilein (16-16)
5,2013-14,Big Ten,28,9,.757,15,3,.833,18.52,9.65,73.9,65.1,7,7,7,Lost Regional Final,2,John Beilein (28-9)
6,2012-13,Big Ten,31,8,.795,12,6,.667,21.28,10.05,75.2,63.3,5,1,10,Lost National Final,4,John Beilein (31-8)
7,2011-12,Big Ten,24,10,.706,13,5,.722,13.19,8.98,66.3,61.5,18,10,13,Lost Second Round,4,John Beilein (24-10)
8,2010-11,Big Ten,21,14,.600,9,9,.500,14.21,10.68,66.5,62.5,,,,Lost Third Round,8,John Beilein (21-14)
9,2009-10,Big Ten,15,17,.469,7,11,.389,10.04,9.37,64.3,61.6,15,15,,,,John Beilein (15-17)
10,2008-09,Big Ten,21,14,.600,9,9,.500,11.90,9.74,66.9,63.2,,23,,Lost Second Round,10,John Beilein (21-14)
11,2007-08,Big Ten,10,22,.313,5,13,.278,3.05,7.99,62.7,67.6,,,,,,John Beilein (10-22)
12,2006-07,Big Ten,22,13,.629,8,8,.500,10.59,6.79,64.3,60.5,,,,,,Tommy Amaker (22-13)
13,2005-06,Big Ten,22,11,.667,8,8,.500,12.19,7.04,71.7,66.6,,21,,,,Tommy Amaker (22-11)
14,2004-05,Big Ten,13,18,.419,4,12,.250,4.79,7.12,61.6,64.0,,,,,,Tommy Amaker (13-18)
15,2003-04,Big Ten,23,11,.676,8,8,.500,11.78,6.16,68.9,63.2,,,,,,Tommy Amaker (23-11)
16,2002-03,Big Ten,17,13,.567,10,6,.625,9.62,7.89,69.0,67.3,,,,,,Tommy Amaker (17-13)
17,2001-02,Big Ten,11,18,.379,5,11,.313,3.53,8.17,67.3,70.8,,,,,,Tommy Amaker (11-18)
18,2000-01,Big Ten,10,18,.357,4,12,.250,3.21,11.39,70.8,78.2,,,,,,Brian Ellerbe (10-18)
19,1999-00,Big Ten,15,14,.517,6,10,.375,5.27,9.27,75.5,79.5,,,,,,Brian Ellerbe (15-14)
20,1998-99,Big Ten,12,19,.387,5,11,.313,8.52,11.71,65.6,68.8,,,,,,Brian Ellerbe (12-19)
21,1997-98,Big Ten,25,9,.735,11,5,.688,18.79,9.64,77.4,67.2,,12,12,Lost Second Round,3,Brian Ellerbe (25-9)
22,1996-97,Big Ten,24,11,.686,9,9,.500,16.73,10.53,74.1,68.0,9,4,,,,Steve Fisher (24-11)
23,1995-96,Big Ten,21,11,.656,10,8,.556,15.02,8.55,71.3,64.9,17,16,,Lost First Round,7,Steve Fisher (21-11)
24,1994-95,Big Ten,17,14,.548,11,7,.611,9.77,8.90,70.6,69.7,16,13,,Lost First Round,9,Steve Fisher (17-14)
25,1993-94,Big Ten,24,8,.750,13,5,.722,17.91,12.04,79.4,73.5,5,3,11,Lost Regional Final,3,Steve Fisher (24-8)
26,1992-93,Big Ten,31,5,.861,15,3,.833,22.03,11.89,81.9,71.8,1,1,3,Lost National Final,1,Steve Fisher (31-5)
27,1991-92,Big Ten,25,9,.735,11,7,.611,18.75,12.25,77.9,71.4,20,11,15,Lost National Final,6,Steve Fisher (25-9)
28,1990-91,Big Ten,14,15,.483,7,11,.389,8.46,8.53,72.9,72.9,,,,,,Steve Fisher (14-15)
29,1989-90,Big Ten,23,8,.742,12,6,.667,18.14,10.27,86.2,77.5,4,3,13,Lost Second Round,3,Steve Fisher (23-8)
30,1988-89,Big Ten,30,7,.811,12,6,.667,27.63,12.06,91.7,74.8,3,2,10,Won National Final,3,Bill Frieder (24-7) Steve Fisher (6-0)
31,1987-88,Big Ten,26,8,.765,13,5,.722,22.42,9.06,87.4,73.8,9,7,10,Lost Regional Semifinal,3,Bill Frieder (26-8)
32,1986-87,Big Ten,20,12,.625,10,8,.556,15.04,8.74,88.2,79.3,,,,Lost Second Round,9,Bill Frieder (20-12)
33,1985-86,Big Ten,28,5,.848,14,4,.778,21.88,9.55,77.9,64.8,3,2,5,Lost Second Round,2,Bill Frieder (28-5)
34,1984-85,Big Ten,26,4,.867,16,2,.889,18.60,8.67,78.2,68.6,,2,2,Lost Second Round,1,Bill Frieder (26-4)
35,1983-84,Big Ten,24,9,.727,10,8,.556,13.24,7.34,68.5,62.2,,15,,,,Bill Frieder (24-9)
36,1982-83,Big Ten,15,13,.536,6,12,.333,7.13,5.17,72.0,70.0,,,,,,Bill Frieder (15-13)
37,1981-82,Big Ten,7,20,.259,6,12,.333,-0.41,5.71,61.9,67.0,,,,,,Bill Frieder (7-20)
38,1980-81,Big Ten,19,11,.633,8,10,.444,12.26,7.81,76.1,70.6,,9,,,,Bill Frieder (19-11)
39,1979-80,Big Ten,17,13,.567,8,10,.444,13.71,9.64,72.3,68.8,,,,,,Johnny Orr (17-13)
