Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2017,Big Ten,8,5,0,.615,13.44,6.98,11,7,,Jim Harbaugh (8-5),Outback Bowl-L,
2,2016,Big Ten,10,3,0,.769,17.56,4.79,7,2,10,Jim Harbaugh (10-3),Orange Bowl-L,
3,2015,Big Ten,10,3,0,.769,16.34,4.57,,12,12,Jim Harbaugh (10-3),Citrus Bowl-W,
4,2014,Big Ten,5,7,0,.417,1.82,3.65,,,,Brady Hoke (5-7),,
5,2013,Big Ten,7,6,0,.538,5.53,3.30,17,11,,Brady Hoke (7-6),Buffalo Wild Wings Bowl-L,
6,2012,Big Ten,8,5,0,.615,10.01,3.85,8,8,24,Brady Hoke (8-5),Outback Bowl-L,
7,2011,Big Ten,11,2,0,.846,16.27,2.96,,11,12,Brady Hoke (11-2),Sugar Bowl-W,
8,2010,Big Ten,7,6,0,.538,1.41,3.10,,18,,Rich Rodriguez (7-6),Gator Bowl-L,
9,2009,Big Ten,5,7,0,.417,-1.51,-0.26,,22,,Rich Rodriguez (5-7),,
10,2008,Big Ten,3,9,0,.250,-4.66,3.00,,,,Rich Rodriguez (3-9),,
11,2007,Big Ten,9,4,0,.692,7.91,2.68,5,5,18,Lloyd Carr (9-4),Capital One Bowl-W,
12,2006,Big Ten,11,2,0,.846,16.66,4.35,14,2,8,Lloyd Carr (11-2),Rose Bowl-L,
13,2005,Big Ten,7,5,0,.583,14.86,9.36,4,3,,Lloyd Carr (7-5),Alamo Bowl-L,
14,2004,Big Ten,9,3,0,.750,12.24,4.82,8,7,14,Lloyd Carr (9-3),Rose Bowl-L,
15,2003,Big Ten,10,3,0,.769,16.10,3.94,4,3,6,Lloyd Carr (10-3),Rose Bowl-L,
16,2002,Big Ten,10,3,0,.769,13.44,6.82,12,7,9,Lloyd Carr (10-3),Outback Bowl-W,
17,2001,Big Ten,8,4,0,.667,12.65,5.73,12,6,20,Lloyd Carr (8-4),Citrus Bowl-L,
18,2000,Big Ten,9,3,0,.750,12.93,2.93,6,3,11,Lloyd Carr (9-3),Citrus Bowl-W,
19,1999,Big Ten,10,2,0,.833,16.77,7.86,8,3,5,Lloyd Carr (10-2),Orange Bowl-W,
20,1998,Big Ten,10,3,0,.769,12.01,3.86,5,5,12,Lloyd Carr (10-3),Citrus Bowl-W,
21,1997,Big Ten,12,0,0,1.000,20.14,4.47,14,1,1,Lloyd Carr (12-0),Rose Bowl-W,
22,1996,Big Ten,8,4,0,.667,13.03,7.12,14,6,20,Lloyd Carr (8-4),Outback Bowl-L,
