iata,airport,city,state,country,lat,long,cnt
SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433,12016
LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744,11797
SAN,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567,6233
SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,4943
SNA,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,4616
SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089,4367
OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,3386
ONT,Ontario International,Ontario,CA,USA,34.056,-117.6011944,1622
PSP,Palm Springs International,Palm Springs,CA,USA,33.82921556,-116.5062531,949
SBA,Santa Barbara Municipal,Santa Barbara,CA,USA,34.42621194,-119.8403733,800
MRY,Monterey Peninsula,Monterey,CA,USA,36.5869825,-121.8429478,658
LGB,Long Beach (Daugherty ),Long Beach,CA,USA,33.81772222,-118.1516111,562
BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,280
FAT,Fresno Yosemite International,Fresno,CA,USA,36.77619444,-119.7181389,264
RDD,Redding Municipal,Redding,CA,USA,40.50898361,-122.2934019,248
SMX,Santa Maria Pub/Capt G Allan Hancock ,Santa Maria,CA,USA,34.89924833,-120.4575825,216
IYK,Inyokern,Inyokern,CA,USA,35.65884306,-117.8295122,146
ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189,144
SBP,San Luis Obispo Co-McChesney ,San Luis Obispo,CA,USA,35.23705806,-120.6423931,112
MMH,Mammoth Yosemite,Mammoth Lakes,CA,USA,37.62404861,-118.8377722,56
